cluster_id,working_name,sample_count,density_median_gcc,density_p10,density_p90,susceptibility_median_SI,susceptibility_p10,susceptibility_p90,has_measured_density,has_measured_susceptibility
0,user_Granite_Gneiss,0,2.6610989623178893,2.657436978046997,2.664760946588782,0.00025735565706949806,0.0,0.0008657509947758441,yes,yes
1,user_Felsic_Intermediate,0,2.6693762177146625,2.6667689602318405,2.6719834751974845,0.0007630054613652287,0.0,0.002460128974384111,yes,yes
2,user_Mafic_Upper,0,2.6795284970422264,2.676145605224563,2.68291138885989,0.008317100642994242,0.003224377774831853,0.013409823511156632,yes,yes
3,user_Mafic_Lower,0,2.692234877348485,2.6891144474771806,2.6953553072197893,0.018347061393939393,0.01076693969506693,0.025927183092811855,yes,yes
4,user_Massive_Sulfide,0,2.7150196864444442,2.706231664518764,2.7238077083701246,0.05279245377777779,0.039102010779872964,0.06648289677568262,yes,yes
5,auto_Auto_1,0,2.668998587661791,2.659696675270266,2.6783005000533158,0.014739665155820567,0.0066446397233903155,0.02283469058825082,yes,yes
6,auto_Auto_2,0,2.677758459237548,2.6749709672366095,2.680545951238486,0.00011411682135632184,0.0,0.000336947283975002,yes,yes
7,auto_Auto_3,0,2.6970807646938777,2.688013919966741,2.706147609421014,0.03100157184336735,0.011812787811157535,0.050190355875577165,yes,yes
8,user_Granite_Gneiss,0,2.6610989623178893,2.657436978046997,2.664760946588782,0.00025735565706949806,0.0,0.0008657509947758441,yes,yes
9,user_Mafic_Upper,0,2.6795284970422264,2.676145605224563,2.68291138885989,0.008317100642994242,0.003224377774831853,0.013409823511156632,yes,yes
10,user_Mafic_Lower,0,2.692234877348485,2.6891144474771806,2.6953553072197893,0.018347061393939393,0.01076693969506693,0.025927183092811855,yes,yes
11,auto_Auto_1,0,2.668998587661791,2.659696675270266,2.6783005000533158,0.014739665155820567,0.0066446397233903155,0.02283469058825082,yes,yes
12,auto_Auto_1,0,2.668998587661791,2.659696675270266,2.6783005000533158,0.014739665155820567,0.0066446397233903155,0.02283469058825082,yes,yes
13,auto_Auto_2,0,2.677758459237548,2.6749709672366095,2.680545951238486,0.00011411682135632184,0.0,0.000336947283975002,yes,yes
14,auto_Auto_2,0,2.677758459237548,2.6749709672366095,2.680545951238486,0.00011411682135632184,0.0,0.000336947283975002,yes,yes
15,auto_Auto_2,0,2.677758459237548,2.6749709672366095,2.680545951238486,0.00011411682135632184,0.0,0.000336947283975002,yes,yes
