X,Y,Z_ground_m,Z_sensor_m,Mag_anomaly_nT,FGrav_mgal
748151.81,6416320.50,380.31,58.98,-682.50,0.147
748034.16,6416308.50,380.62,57.47,-545.39,0.233
747994.06,6416313.00,380.57,57.32,-414.46,0.284
747709.00,6416310.00,380.26,58.93,792.16,0.519
747416.75,6416310.00,375.74,59.99,-63.72,0.359
747097.42,6416315.50,374.30,57.47,-716.11,-0.045
746505.27,6416295.50,374.04,61.49,-671.69,-0.063
746231.09,6416299.00,372.88,62.54,-254.37,-0.060
745630.58,6416298.50,369.59,57.64,-159.62,-0.022
745322.88,6416297.50,369.13,59.03,-74.90,-0.040
745021.54,6416287.00,369.01,54.15,-85.10,-0.051
748596.33,6415923.50,385.68,59.57,-625.02,-0.036
747415.52,6415923.50,377.23,58.71,-532.01,0.005
747100.93,6415913.00,375.17,58.72,-361.86,-0.048
746808.60,6415905.50,372.43,58.15,-273.19,-0.034
746493.28,6415911.50,372.30,57.59,-226.91,-0.058
745912.48,6415899.50,369.16,53.43,-141.22,-0.044
745620.00,6415894.50,370.11,56.29,-117.38,-0.056
748748.94,6416225.00,381.10,55.73,-721.72,0.029
748752.63,6416201.50,381.66,54.97,-740.01,0.007
748752.94,6416177.00,382.22,54.16,-757.71,-0.027
748763.69,6416135.00,381.88,52.83,-784.01,-0.016
748774.00,6416103.50,381.55,52.01,-790.86,-0.028
748770.81,6416067.50,381.55,53.54,-772.17,-0.039
748777.38,6416034.00,381.55,55.10,-739.89,-0.061
748787.81,6416019.00,381.55,55.88,-724.35,-0.067
748798.00,6415992.00,382.60,57.20,-698.16,-0.096
748802.25,6415971.00,383.64,58.14,-678.22,-0.085
748803.38,6415933.00,385.26,59.80,-642.76,-0.079
748791.06,6415903.00,384.63,60.99,-615.97,-0.062
748798.44,6415879.00,384.00,62.12,-595.46,-0.053
748801.88,6415830.00,385.44,62.22,-562.14,-0.042
748796.00,6415805.50,386.89,61.47,-551.85,-0.022
748818.06,6415752.50,388.33,60.11,-526.13,-0.005
749258.94,6416048.00,388.64,55.00,-693.10,-0.012
749252.69,6416081.00,388.48,55.00,-693.10,-0.012
749251.44,6416113.00,388.32,55.00,-693.10,-0.044
749246.19,6416144.00,388.15,55.00,-693.10,-0.001
749246.31,6416180.00,387.16,55.00,-693.10,-0.025
749237.50,6416204.00,386.17,55.00,-693.10,-0.051
749234.88,6416232.00,385.18,55.00,-693.10,-0.063
749242.50,6416275.00,386.48,62.00,-651.08,-0.050
749241.13,6416309.00,388.03,62.00,-651.08,-0.039
749248.00,6416339.00,388.06,62.00,-651.08,-0.026
749244.75,6416399.50,388.11,62.00,-651.08,0.010
745575.26,6415320.00,369.26,54.80,-146.81,-0.064
745578.28,6415446.00,369.22,57.61,-130.50,-0.072
745577.91,6415565.00,369.17,61.10,-108.56,-0.085
745582.43,6415644.00,369.14,61.01,-105.86,-0.048
745584.81,6415728.50,369.34,59.00,-110.11,-0.045
749293.31,6416420.00,387.59,62.00,-651.08,-0.002
749256.38,6416419.00,386.99,62.00,-651.08,0.013
749209.88,6416400.00,386.39,62.00,-651.08,0.030
749181.25,6416388.00,385.80,62.00,-651.08,0.002
749144.81,6416375.50,385.20,62.00,-651.08,-0.011
749108.25,6416357.50,384.61,62.00,-651.08,-0.007
749081.44,6416341.50,384.50,61.42,-604.07,0.005
749024.81,6416307.50,384.29,61.38,-669.73,0.013
749006.50,6416298.00,384.19,60.98,-674.44,0.039
748943.94,6416291.00,383.75,59.41,-690.30,-0.001
748922.19,6416279.00,383.32,58.34,-702.37,-0.004
748885.31,6416270.00,382.89,56.99,-713.52,-0.009
748855.06,6416276.50,382.46,56.83,-713.24,0.022
748815.13,6416252.00,382.03,56.76,-718.96,0.052
748776.50,6416252.00,381.60,56.80,-708.74,0.029
748748.06,6416242.50,381.17,56.31,-708.76,0.029
748708.00,6416235.00,380.74,56.41,-698.37,0.041
